id,repeat,ari,assigned_ari,coverage,same_k,noise_agreement,error
129,12,0.8350645687954714,0.8390113458082404,0.925,False,0.96875,
129,13,0.9208727860680853,0.9498569717583021,0.88125,True,0.975,
129,14,0.8320461995329035,0.9724121655270068,0.83125,False,0.91875,
129,15,0.957135546316152,0.9826247623495575,0.88125,False,0.93125,
129,16,0.8722860304827353,0.9698689317055685,0.90625,False,0.9375,
129,17,0.7804741094517019,0.969434254930831,0.775,False,0.875,
129,18,0.8798432394093377,0.9754633939181697,0.9,False,0.95,
129,19,0.8698095269027571,0.978125363114505,0.8875,False,0.95625,
665,0,0.8729807950695708,0.8729807950695708,1.0,True,1.0,
665,1,0.7782682185069089,0.7782682185069089,1.0,True,1.0,
665,2,0.8637151499503286,0.8637151499503286,1.0,True,1.0,
665,3,0.8617064727732165,0.8617064727732165,1.0,True,1.0,
665,4,0.9230528138842389,0.9230528138842389,1.0,True,1.0,
665,5,0.9342901992961373,0.9342901992961373,1.0,True,1.0,
665,6,0.7851830934473243,0.7851830934473243,1.0,True,1.0,
665,7,0.8833454042222084,0.8833454042222084,1.0,True,1.0,
665,8,0.9327228926636776,0.9327228926636776,1.0,True,1.0,
665,9,0.8302147990444491,0.8302147990444491,1.0,True,1.0,
665,10,0.8981071316997364,0.8981071316997364,1.0,True,1.0,
665,11,0.9375212411476929,0.9375212411476929,1.0,True,1.0,
665,12,0.972178393173402,0.972178393173402,1.0,True,1.0,
665,13,0.9603064451800386,0.9603064451800386,1.0,True,1.0,
665,14,0.9440363054391819,0.9440363054391819,1.0,True,1.0,
665,15,0.9174652100019063,0.9174652100019063,1.0,True,1.0,
665,16,0.8961452444648584,0.8961452444648584,1.0,True,1.0,
665,17,0.6625794542218272,0.6625794542218272,1.0,True,1.0,
665,18,0.8623073976940233,0.8623073976940233,1.0,True,1.0,
665,19,0.846021926231876,0.846021926231876,1.0,True,1.0,
517,0,0.8260739218953927,0.8260739218953927,1.0,True,1.0,
517,1,0.9106570266447629,0.9106570266447629,1.0,True,1.0,
517,2,0.9676366278570524,0.9676366278570524,1.0,True,1.0,
517,3,0.8400704422178416,0.8400704422178416,1.0,True,1.0,
517,4,0.7986801007556675,0.7986801007556675,1.0,True,1.0,
517,5,0.8332564912986019,0.8332564912986019,1.0,True,1.0,
517,6,0.7053393595999008,0.7053393595999008,1.0,True,1.0,
517,7,0.9027375753519157,0.9027375753519157,1.0,True,1.0,
517,8,0.8538559845706234,0.8538559845706234,1.0,True,1.0,
517,9,0.8932042249982413,0.8932042249982413,1.0,True,1.0,
517,10,0.9548684460803394,0.9548684460803394,1.0,True,1.0,
517,11,0.8204230203345722,0.8204230203345722,1.0,True,1.0,
517,12,0.7726520188216398,0.7726520188216398,1.0,True,1.0,
517,13,0.9230199115594486,0.9230199115594486,1.0,True,1.0,
517,14,0.8871873142939373,0.8871873142939373,1.0,True,1.0,
517,15,0.8509956519099968,0.8509956519099968,1.0,True,1.0,
517,16,0.912000454576575,0.912000454576575,1.0,True,1.0,
517,17,0.79406132836115,0.79406132836115,1.0,True,1.0,
517,18,0.8844249865275277,0.8844249865275277,1.0,True,1.0,
517,19,0.9103102789900946,0.9103102789900946,1.0,True,1.0,
833,0,0.9684804595841088,0.9684804595841088,1.0,True,1.0,
833,1,0.8767672171783041,0.8767672171783041,1.0,True,1.0,
833,2,0.9566367426300736,0.9566367426300736,1.0,True,1.0,
833,3,0.9713889292974733,0.9713889292974733,1.0,True,1.0,
833,4,0.9093524109529184,0.9093524109529184,1.0,True,1.0,
833,5,0.9337365650092931,0.9337365650092931,1.0,True,1.0,
833,6,0.9872634424752178,0.9872634424752178,1.0,True,1.0,
833,7,0.9292831744522037,0.9292831744522037,1.0,True,1.0,
833,8,0.9416513790880442,0.9416513790880442,1.0,True,1.0,
833,9,0.946397801505059,0.946397801505059,1.0,True,1.0,
833,10,0.9339682715468313,0.9339682715468313,1.0,True,1.0,
833,11,0.9582782742360682,0.9582782742360682,1.0,True,1.0,
833,12,0.9292510561017016,0.9292510561017016,1.0,True,1.0,
833,13,0.9546003736678573,0.9546003736678573,1.0,True,1.0,
833,14,0.8853557144194196,0.8853557144194196,1.0,True,1.0,
